b0,A,AI,B,BI,C,CI,ResultReal,ResultImag,Delta
32,1,-15,-14,-3,0,7,-0.05272606848810381,33.41722134228721,0.7334740184165472
32,1,-16,-14,-13,0,7,-0.05272584547876748,33.41716715612593,0.7334382314344696
32,1,-16,-14,15,0,7,-0.2610861737221594,33.41682193249231,0.9007470197606439
32,1,-16,-14,8,0,7,-0.2610544580736289,33.41521000171807,0.8998590931919137
32,1,-16,-14,-10,0,7,-0.05272584182983489,33.41716623772622,0.7334376249999829
32,1,-15,-14,-1,0,7,-0.05291859021052744,33.4656335936681,0.7663064797297648
32,1,-16,-14,14,0,7,-0.05272704288281879,33.41746852894724,0.7336372679053935
32,1,-14,-14,-16,0,7,-0.05272584285607406,33.41716649602032,0.7334377955557746
32,1,-16,-14,17,0,7,-0.05383818044803391,33.69562946761683,0.9408508011494483
32,1,-14,-14,-10,0,7,-0.05272584183203019,33.41716623827875,0.7334376253648289
32,1,-15,-14,0,0,7,-0.05272647509265813,33.41732368013942,0.7335416021157897
32,1,-16,-14,16,0,7,-0.05320774834204134,33.53817378616234,0.8184027961294326
32,1,-16,-14,12,0,7,-0.07386841580859586,33.43860246526447,0.7634647169330082
32,1,-17,-14,16,0,7,2.507364709959331e-312,33.42638891376798,0.7010010993590516
32,1,-16,-14,11,0,7,-0.05272584955200765,33.41716623833447,0.7334376312193066
32,1,-14,-14,-14,0,7,-0.2610573485277705,33.41535691321428,0.8999399354519964
32,1,-16,-14,-1,0,7,2.560986118217675e-312,33.76638419843635,0.9701016869670606
32,1,-14,-14,-11,0,7,-0.2610636460589403,33.41568012583019,0.9001177992403321
32,1,-16,-14,13,0,7,-0.05272594191585125,33.41719142836045,0.7334542590265882
32,1,-16,-14,-12,0,7,-0.2610556141463156,33.41526876607419,0.8998914278667668
32,1,-16,-14,-2,0,7,-0.05279424847312935,33.43437582442038,0.7449135440421848
32,1,-16,-14,-3,0,7,2.513905837364617e-312,33.46895567651586,0.7314662658186435
32,1,-16,-14,1,0,7,2.549762506968887e-312,33.69571547729238,0.9102715746920785
32,1,-15,-14,5,0,7,2.536552029845689e-312,33.61234795888462,0.8418532108030129
32,1,-15,-14,8,0,7,2.51148342133422e-312,33.45358124893026,0.7203212054644117
32,1,-14,-14,-9,0,7,-0.2569202762907543,33.43236437211118,0.9056701187541769
32,1,-16,-14,-9,0,7,2.681683831557399e-312,33.41741735762168,0.6947424621677649
32,1,-14,-14,-17,0,7,2.505926248098149e-312,33.41724941725641,0.6946258726354233
32,1,-16,-14,0,0,7,2.524838925711416e-312,33.53825818760278,0.7834833361897318
32,1,-16,-14,19,0,7,2.509150095270489e-312,33.43876562984939,0.7097307672900723
32,1,-15,-14,3,0,7,-8.694078814260222e-09,33.41725187729586,0.6946275865791853
32,1,-15,-14,-2,0,7,-0.05272697553549773,33.41744963548954,0.7336247938128936
32,1,-16,-14,18,0,7,2.507117008383974e-312,33.42585109634427,0.7006242514763614
32,1,-15,-14,6,0,7,2.513395496484947e-312,33.46571726116003,0.7291059207918446
32,1,-15,-14,2,0,7,-0.05272584185271088,33.41716624348387,0.7334376288018514
32,1,-14,-14,-12,0,7,-0.2610561923576921,33.41529814837401,0.8999075964210683
32,1,-14,-14,-13,0,7,2.505926609413296e-312,33.41725171329276,0.6946274664749176
32,1,-15,-14,7,0,7,2.50830260447334e-312,33.43338281659319,0.7059207088098236
32,1,-15,-14,10,0,7,2.510210200741124e-312,33.44549765063557,0.7145242993104935
32,1,-14,-14,-15,0,7,2.505764465981275e-312,33.4172567645864,0.6946309729451424
